"id","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","forum.posts","levels.complete","avatar.requests","teacher.requests","customize.character","facebook","time.in.session","av.seconds.per.task"
136,"GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,2,1,1,4,5,12,15,13,14,7,50,16,140,11,"yes",50,89.5
137,"GP","M",16,"U","GT3","T",2,1,"at_home","other","course","mother",4,1,0,"no","no","no","yes","yes","yes","no","no",3,2,1,1,1,2,4,9,9,11,8,22,26,72,8,"no",110,20.24
138,"GP","F",16,"U","GT3","A",2,2,"other","other","home","mother",1,1,1,"no","no","no","yes","yes","yes","no","no",5,3,4,1,1,5,12,13,11,11,4,25,16,48,23,"yes",75,25.5
139,"GP","M",15,"R","GT3","T",3,4,"at_home","teacher","course","mother",4,2,0,"no","yes","no","yes","yes","yes","no","yes",5,3,3,1,1,5,2,12,11,11,22,70,12,115,1,"no",350,18.55
140,"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,1,1,5,4,13,14,15,12,225,14,81,1,"no",225,293.625
141,"GP","M",17,"R","GT3","T",3,4,"at_home","other","course","mother",3,2,0,"no","no","no","yes","yes","yes","no","no",5,4,5,2,4,5,2,10,9,10,4,90,18,57,6,"no",90,144.45
142,"GP","F",16,"R","GT3","T",1,1,"at_home","other","course","mother",4,2,0,"no","yes","no","yes","yes","yes","no","no",5,1,3,1,1,3,0,14,13,13,3,60,14,108,2,"no",240,75.3
143,"GP","M",18,"U","LE3","T",3,1,"services","services","course","mother",2,1,0,"no","no","no","yes","yes","yes","yes","yes",3,3,4,4,5,4,2,11,11,12,26,68,24,88,7,"no",204,20.06
144,"GP","F",18,"U","GT3","A",3,2,"other","services","course","other",1,3,0,"no","yes","no","yes","no","yes","yes","yes",4,3,3,5,1,5,10,12,11,11,22,135,40,46,7,"yes",270,222.75
145,"GP","F",16,"R","GT3","T",1,1,"other","services","reputation","mother",2,1,0,"no","yes","no","yes","yes","yes","no","yes",3,3,3,1,2,1,8,12,11,11,20,20,14,46,4,"yes",20,35.4
146,"GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,0,"no","yes","no","yes","no","yes","yes","yes",4,3,2,1,1,5,4,9,9,10,22,65,34,54,15,"no",130,101.725
147,"GP","M",16,"U","LE3","T",1,1,"services","other","course","mother",1,2,2,"no","no","no","yes","yes","yes","no","yes",4,4,4,1,3,5,0,10,10,10,2,190,24,60,5,"no",190,66.5
148,"GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,0,"no","no","no","yes","yes","yes","yes","no",4,3,2,1,1,5,6,13,14,14,11,100,38,54,4,"yes",500,8.5
149,"GP","F",15,"R","GT3","T",1,1,"other","other","course","mother",3,1,1,"no","no","no","yes","yes","yes","yes","yes",5,5,5,1,1,1,2,8,9,9,18,2,48,17,7,"no",10,1.97
150,"GP","M",15,"U","GT3","T",4,3,"teacher","services","course","father",2,4,0,"yes","yes","no","yes","yes","yes","yes","no",2,2,2,1,1,3,6,9,11,11,8,120,28,40,4,"yes",360,93.6
151,"GP","F",15,"U","GT3","A",3,3,"services","services","home","mother",1,2,0,"no","no","no","yes","no","yes","no","yes",1,3,2,2,3,1,24,9,8,9,22,12,24,51,19,"yes",24,16.92
152,"GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,5,0,15,13,13,5,135,28,140,1,"no",405,105.975
153,"GP","M",16,"U","LE3","T",2,2,"services","services","reputation","father",2,1,0,"no","yes","no","yes","yes","yes","yes","no",2,3,3,2,2,2,4,12,11,11,12,6,40,23,2,"no",24,8.58
154,"GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,2,2,1,1,5,2,13,13,13,14,105,32,130,2,"no",525,73.5
155,"GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,4,4,3,3,1,4,10,11,11,7,17,20,105,5,"no",51,9.01
156,"GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",5,4,5,1,2,5,22,9,7,6,3,85,46,64,3,"yes",425,97.325
157,"GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,2,1,2,5,0,12,12,12,11,110,28,48,3,"no",550,111.65
158,"GP","F",15,"U","LE3","A",2,1,"at_home","other","home","mother",2,1,0,"no","yes","no","yes","yes","no","yes","yes",4,4,2,1,1,5,0,11,10,10,8,40,18,42,15,"no",200,9.8
159,"GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,1,"no","yes","no","yes","yes","yes","yes","no",3,3,2,1,1,3,2,11,11,11,11,6,36,66,1,"no",18,1.89
160,"GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"no","yes","no","yes","no","yes","yes","no",4,3,2,1,1,5,6,13,12,13,8,80,14,100,4,"yes",80,9.6
161,"GP","F",15,"U","GT3","T",1,2,"at_home","services","course","father",1,2,0,"no","no","no","yes","no","yes","no","yes",2,3,4,2,4,1,6,11,11,11,10,26,18,66,4,"yes",78,37.31
162,"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","yes","no","yes","yes","no","yes","yes",3,3,2,2,1,5,16,9,9,8,20,5,46,18,4,"yes",5,7.075
163,"GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,0,"no","no","no","yes","yes","yes","yes","no",4,5,5,2,5,5,0,12,11,11,6,65,40,115,19,"no",65,39.325
164,"GP","M",18,"U","LE3","T",1,1,"other","other","course","mother",1,1,2,"no","no","no","yes","yes","no","yes","yes",2,3,5,2,5,4,0,11,9,0,16,36,30,80,7,"no",72,18.54
165,"GP","M",16,"U","LE3","T",2,1,"at_home","other","course","mother",1,1,1,"no","no","no","yes","yes","yes","no","yes",4,4,4,3,5,5,6,9,10,10,10,25,22,38,8,"no",100,32.625
166,"GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,0,"no","yes","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,2,13,13,13,24,135,38,104,2,"no",405,196.425
167,"GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,0,"no","yes","no","yes","yes","no","yes","yes",4,5,4,1,1,4,6,11,9,11,18,4,30,100,0,"yes",16,0.18
168,"GP","F",17,"U","GT3","T",4,4,"other","teacher","course","mother",1,1,0,"yes","yes","no","yes","yes","yes","no","yes",4,2,1,1,1,4,0,13,13,13,20,36,10,52,2,"no",144,17.1
169,"GP","M",15,"R","GT3","T",2,3,"at_home","services","course","mother",1,2,0,"yes","no","yes","yes","yes","yes","no","no",4,4,4,1,1,1,0,7,8,8,3,12,30,15,7,"no",24,12.72
170,"GP","M",17,"R","LE3","T",1,2,"other","other","reputation","mother",1,1,3,"no","no","no","yes","yes","yes","no","no",2,2,2,3,3,5,14,9,8,10,7,55,20,17,6,"no",220,37.125
171,"GP","F",18,"R","GT3","T",1,1,"at_home","other","course","mother",3,1,3,"no","yes","no","yes","no","yes","no","no",5,2,5,1,5,4,6,11,10,11,0,36,20,42,0,"yes",144,12.6
172,"GP","M",16,"R","GT3","T",2,2,"at_home","other","course","mother",3,1,0,"no","no","no","yes","no","yes","no","no",4,2,2,1,2,3,4,12,10,11,3,6,16,110,4,"no",6,10.62
173,"GP","M",16,"U","GT3","T",3,3,"other","services","course","father",1,2,1,"no","yes","no","yes","yes","yes","yes","yes",4,5,5,4,4,5,0,10,10,1,10,180,20,20,1,"no",360,308.7
174,"GP","M",16,"U","LE3","T",1,2,"health","services","course","mother",2,1,2,"no","no","no","yes","no","yes","yes","no",4,4,5,3,5,5,0,9,8,10,6,15,46,17,4,"no",30,6.675
175,"GP","M",17,"R","LE3","T",2,1,"at_home","other","course","mother",2,1,1,"no","no","yes","yes","yes","no","yes","yes",3,3,2,2,2,5,8,8,8,9,18,55,24,16,4,"no",220,15.4
176,"GP","M",17,"R","GT3","T",3,2,"other","other","course","mother",2,2,2,"yes","yes","no","yes","yes","yes","yes","yes",4,4,4,1,4,3,4,7,6,8,4,96,44,26,0,"no",192,157.44
177,"GP","M",15,"U","LE3","T",1,2,"other","other","course","mother",2,1,0,"no","no","no","yes","yes","yes","no","no",4,4,4,2,4,5,2,8,9,10,10,95,22,51,7,"no",380,59.85
178,"GP","M",16,"U","GT3","T",1,3,"at_home","services","course","father",1,1,1,"no","no","no","yes","yes","no","yes","no",5,3,3,1,4,2,2,9,8,8,6,14,22,51,8,"no",70,24.64
179,"GP","M",17,"R","LE3","T",1,1,"other","services","course","mother",4,2,0,"no","no","no","yes","yes","no","no","yes",5,3,5,1,5,5,0,8,8,8,8,140,22,80,8,"no",140,217.7
180,"GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",2,1,3,"no","yes","no","yes","no","no","no","no",4,5,2,1,1,2,10,8,7,8,1,22,22,75,0,"yes",110,19.69
181,"GP","M",16,"U","GT3","T",2,2,"other","other","course","father",1,2,0,"no","no","no","yes","yes","no","yes","no",4,3,5,2,4,4,0,9,10,11,4,160,46,76,7,"no",160,164
182,"GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,0,"no","no","no","yes","yes","yes","yes","yes",4,2,3,1,1,3,0,17,17,18,20,6,12,34,5,"no",12,3.84
183,"GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"no","yes","no","yes","no","yes","yes","no",5,1,5,1,1,4,0,12,12,13,5,40,28,120,3,"no",200,5.6
184,"GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,2,1,1,3,0,16,16,17,26,60,20,32,4,"no",60,71.7
185,"GP","M",16,"U","GT3","T",3,4,"other","other","course","father",3,1,1,"no","yes","no","yes","no","yes","yes","no",3,4,5,2,4,2,4,9,9,10,6,36,28,36,2,"no",144,56.16
186,"GP","M",16,"U","GT3","T",1,0,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,2,1,1,3,0,16,17,18,12,120,32,33,2,"no",120,33
187,"GP","M",17,"U","LE3","T",4,4,"teacher","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,4,1,3,5,0,11,9,10,14,50,30,100,3,"no",50,50.25
188,"GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,0,"no","no","no","yes","no","yes","yes","yes",4,3,5,1,1,3,0,14,13,13,12,120,18,81,5,"no",600,48.6
189,"GP","F",16,"U","LE3","T",3,3,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,5,1,1,4,0,14,14,15,5,72,12,84,1,"no",360,87.48
190,"GP","M",17,"U","LE3","T",4,3,"teacher","other","course","mother",2,2,0,"no","no","no","yes","yes","yes","yes","no",4,4,4,4,4,4,0,10,11,11,11,112,20,105,4,"no",448,185.92
191,"GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,0,"no","no","no","yes","no","yes","yes","no",3,4,4,1,4,5,0,13,12,14,10,130,20,100,7,"no",390,108.55
192,"GP","M",17,"U","GT3","T",3,3,"other","other","reputation","father",1,2,0,"no","no","no","yes","no","yes","yes","no",4,3,4,1,4,4,4,11,9,10,11,136,18,60,4,"no",136,80.92
193,"GP","M",16,"R","GT3","T",4,2,"teacher","services","other","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,3,4,3,8,10,9,11,18,51,44,95,0,"yes",255,3.315
194,"GP","M",17,"U","GT3","T",4,3,"other","other","course","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",5,2,3,1,1,2,4,11,11,13,14,56,42,44,0,"no",280,38.92
195,"GP","M",16,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",3,4,3,2,3,3,4,11,10,11,5,18,42,105,3,"no",72,24.3
196,"GP","M",16,"U","GT3","T",3,3,"services","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",4,2,3,1,2,3,0,11,12,13,22,102,36,23,5,"no",306,73.95
197,"GP","F",17,"U","GT3","T",2,4,"services","services","reputation","father",1,2,0,"no","yes","no","yes","yes","yes","no","no",5,4,2,2,3,5,0,17,18,17,12,60,4,70,3,"no",300,36.6
198,"GP","F",17,"U","LE3","T",3,3,"other","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",5,3,3,2,3,1,32,14,13,14,8,4,36,108,2,"no",4,1.8
199,"GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",1,2,2,1,2,1,8,14,15,16,8,12,18,29,2,"yes",24,3.42
200,"GP","M",17,"U","GT3","T",3,3,"services","services","other","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,4,2,3,4,6,11,13,14,18,64,30,120,1,"yes",64,94.08
201,"GP","M",16,"U","GT3","T",1,2,"services","services","other","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","yes",3,3,3,1,2,3,0,10,9,11,6,30,44,38,1,"no",60,22.05
202,"GP","M",16,"U","LE3","T",2,1,"other","other","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",4,2,3,1,2,5,0,13,14,16,22,50,20,108,5,"no",200,84.5
203,"GP","F",17,"U","GT3","A",3,3,"health","other","reputation","mother",1,2,0,"no","yes","no","yes","no","yes","yes","yes",3,3,3,1,3,3,10,12,13,14,12,96,16,75,11,"yes",480,132.48
204,"GP","M",17,"R","GT3","T",1,2,"at_home","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","no","no",3,1,3,1,5,3,6,9,9,10,3,120,26,54,5,"yes",120,172.2
205,"GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",4,3,3,1,1,2,6,12,12,13,8,60,34,24,8,"yes",240,71.7
206,"GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,12,11,12,5,66,22,115,7,"no",198,46.2
207,"GP","M",17,"U","GT3","T",1,2,"at_home","services","other","other",2,2,0,"no","no","no","yes","no","yes","yes","no",4,4,4,4,5,5,16,10,11,12,5,170,32,63,6,"yes",850,209.1
208,"GP","M",16,"R","GT3","T",3,3,"services","services","reputation","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",4,3,2,3,4,5,0,11,10,10,7,80,24,84,4,"no",240,135.2
209,"GP","M",16,"U","GT3","T",2,3,"other","other","home","father",2,1,0,"no","no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,13,12,12,7,30,20,50,6,"no",90,12.6
210,"GP","F",17,"U","LE3","T",2,4,"services","services","course","father",1,2,0,"no","no","no","yes","yes","yes","yes","yes",4,3,2,1,1,5,8,14,15,16,14,180,12,87,5,"no",180,146.7
211,"GP","M",17,"U","GT3","T",4,4,"services","teacher","home","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",5,2,3,1,2,5,4,13,13,14,8,50,38,26,6,"no",50,17.5
212,"GP","M",16,"R","LE3","T",3,3,"teacher","other","home","father",3,1,0,"no","yes","no","yes","yes","yes","yes","no",3,3,4,3,5,3,16,10,11,12,10,15,38,105,3,"no",45,1.275
213,"GP","F",17,"U","GT3","T",4,4,"services","teacher","home","mother",2,1,1,"no","yes","no","yes","yes","yes","yes","no",4,2,4,2,3,2,30,14,15,16,4,30,12,116,2,"yes",120,31.95
214,"GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,5,2,1,2,3,0,11,10,11,7,12,30,21,3,"no",36,20.76
215,"GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,5,1,5,2,2,14,14,15,9,76,18,112,4,"no",228,89.68
216,"GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,0,"yes","yes","no","yes","yes","yes","no","no",4,4,3,1,3,4,4,11,12,12,8,136,14,46,2,"no",544,127.16
217,"GP","F",17,"U","GT3","T",1,1,"other","other","course","mother",1,2,0,"no","yes","no","yes","no","yes","no","no",4,4,4,1,3,1,0,14,15,15,8,32,10,145,3,"no",128,13.28
218,"GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",5,3,2,1,2,3,21,13,13,13,10,24,20,104,3,"yes",48,24.24
219,"GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,0,"no","yes","no","yes","no","yes","yes","no",5,3,5,1,1,5,6,13,13,13,12,300,38,130,2,"yes",900,135
220,"GP","F",17,"U","GT3","T",3,4,"at_home","services","home","mother",1,3,1,"no","yes","yes","yes","yes","yes","yes","yes",4,4,3,3,4,5,14,8,9,8,10,105,36,85,1,"yes",315,128.625
221,"GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",2,3,3,2,2,4,2,11,11,12,5,32,42,44,11,"no",160,35.04
222,"GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",1,3,2,1,1,1,4,14,15,15,18,34,36,116,7,"no",170,48.62
223,"GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,0,"no","yes","no","yes","yes","yes","no","no",4,3,2,1,4,5,2,12,13,13,11,80,18,125,1,"no",320,116
224,"GP","F",17,"R","GT3","T",4,3,"teacher","other","reputation","mother",2,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,2,1,1,4,0,11,12,12,16,84,30,23,3,"no",252,8.4
225,"GP","F",19,"U","GT3","T",3,3,"other","other","reputation","other",1,4,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,2,3,4,12,12,12,9,132,16,48,1,"no",132,207.9
226,"GP","M",17,"U","LE3","T",4,4,"services","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",5,3,5,4,5,3,15,13,12,12,28,90,26,50,0,"no",90,37.8
227,"GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",3,3,4,1,1,4,0,13,13,13,9,96,20,52,3,"no",480,120
228,"GP","M",18,"U","GT3","T",2,2,"services","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,4,2,4,5,10,12,11,11,8,80,34,92,1,"yes",240,59.2
229,"GP","F",17,"R","LE3","T",4,4,"services","other","other","mother",1,1,0,"no","yes","no","yes","yes","yes","no","no",5,2,1,1,2,3,6,12,11,11,9,51,14,115,2,"no",153,15.045
230,"GP","F",17,"U","LE3","T",3,2,"other","other","reputation","mother",2,2,0,"no","no","no","yes","yes","yes","yes","no",4,4,4,1,3,1,2,14,16,15,9,6,30,30,7,"no",24,9.81
231,"GP","F",17,"U","GT3","T",4,3,"other","other","reputation","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",3,4,5,2,4,1,16,11,9,10,18,10,18,60,7,"yes",50,14.75
232,"GP","M",18,"U","LE3","T",3,3,"services","health","home","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",3,2,4,2,4,4,10,10,10,10,12,160,38,20,4,"no",480,237.6
233,"GP","F",17,"U","GT3","T",2,3,"at_home","other","home","father",2,1,0,"no","yes","no","yes","yes","yes","no","no",3,3,3,1,4,3,4,12,13,13,12,24,18,125,3,"no",72,15.24
234,"GP","F",17,"U","GT3","T",2,2,"at_home","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,4,0,12,12,13,3,48,16,72,3,"no",48,49.2
235,"GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,2,5,1,2,5,0,11,10,11,10,80,36,21,3,"no",160,57.6
236,"GP","F",17,"U","GT3","T",1,1,"at_home","other","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","no","yes",4,3,4,1,1,5,12,12,12,12,18,255,18,24,3,"yes",510,293.25
237,"GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,0,"yes","no","no","yes","yes","yes","yes","no",2,3,1,1,1,3,0,13,13,14,9,18,32,26,5,"no",72,3.96
238,"GP","M",18,"U","GT3","T",2,2,"other","other","home","mother",2,2,3,"no","yes","yes","yes","yes","yes","yes","no",3,3,3,5,5,4,9,10,9,10,6,128,20,76,3,"yes",640,42.88
239,"GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","no","yes","yes","no",5,3,2,1,1,5,4,15,16,16,11,255,28,155,2,"no",765,43.35
240,"GP","F",18,"R","GT3","T",3,1,"other","other","reputation","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,1,4,4,8,8,8,16,152,36,48,8,"no",608,158.84
241,"GP","F",17,"U","GT3","T",3,2,"other","other","course","mother",1,2,0,"no","no","no","yes","no","yes","yes","no",5,3,4,1,3,3,2,17,18,17,5,54,12,70,4,"no",54,25.11
242,"GP","M",17,"U","LE3","T",2,3,"services","services","reputation","father",1,2,0,"no","yes","no","yes","no","yes","yes","no",5,3,3,1,3,3,0,10,11,11,7,96,20,42,4,"no",192,84
243,"GP","M",18,"U","LE3","T",2,1,"at_home","other","course","mother",4,2,0,"yes","yes","no","yes","yes","yes","yes","yes",4,3,2,4,5,3,2,9,10,11,20,96,28,57,2,"no",480,152.64
244,"GP","F",17,"U","GT3","A",2,1,"other","other","course","mother",2,3,0,"no","no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,0,15,15,16,18,117,22,150,15,"no",234,87.165
245,"GP","F",17,"U","LE3","T",4,3,"health","other","reputation","father",1,2,0,"no","no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,0,14,12,12,18,60,30,130,8,"no",120,51.9
246,"GP","M",17,"R","GT3","T",2,2,"other","other","course","father",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,5,2,1,1,1,0,12,13,13,10,12,40,125,1,"no",36,17.76
247,"GP","M",17,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","yes",4,5,5,1,3,2,0,13,13,13,28,48,32,130,2,"no",48,10.08
248,"GP","M",16,"U","GT3","T",4,4,"health","other","reputation","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,2,4,2,4,1,0,13,13,14,7,26,26,104,3,"no",78,3.9
249,"GP","M",16,"U","LE3","T",1,1,"other","other","home","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",3,4,2,1,1,5,2,9,9,9,6,140,28,90,4,"no",420,242.9
250,"GP","M",16,"U","GT3","T",3,2,"at_home","other","reputation","mother",2,3,0,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,3,2,0,12,12,12,12,120,40,72,7,"no",480,141
251,"GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,0,"no","no","no","yes","no","yes","yes","yes",4,4,2,5,5,4,0,16,16,16,14,24,8,32,5,"no",96,22.08
252,"GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"no","no","no","yes","yes","yes","yes","yes",4,5,2,1,1,5,4,9,10,10,6,90,28,95,5,"no",180,127.35
253,"GP","F",16,"U","GT3","A",4,1,"other","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,2,5,0,14,13,13,24,100,30,81,23,"no",500,155.5
254,"GP","F",18,"U","LE3","A",2,4,"services","other","course","mother",2,2,1,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,3,18,10,10,10,11,102,38,80,15,"no",408,82.62
255,"GP","F",18,"U","LE3","T",2,2,"at_home","services","course","mother",1,2,1,"no","yes","no","yes","no","yes","yes","yes",5,3,1,1,1,5,16,9,8,10,22,160,22,34,3,"no",800,120.8
256,"GP","F",18,"U","GT3","T",3,3,"other","other","course","mother",2,1,1,"no","no","no","yes","yes","no","yes","no",4,1,1,1,1,3,14,8,7,7,11,30,36,15,7,"yes",150,52.95
257,"GP","M",18,"U","GT3","T",2,2,"other","at_home","course","other",1,1,1,"no","yes","no","yes","no","no","yes","yes",4,4,3,2,2,1,26,7,8,8,10,2,38,15,2,"yes",4,0.98
258,"GP","M",17,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","yes","no","yes","no","yes","yes","no",4,2,1,1,2,5,6,10,8,9,7,35,44,72,0,"yes",175,31.675
259,"GP","F",17,"U","GT3","T",3,2,"other","other","course","father",1,2,0,"no","no","no","yes","yes","yes","no","no",5,4,2,1,1,3,4,14,14,15,8,54,10,56,7,"no",270,7.02
260,"GP","F",17,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,2,1,2,4,10,11,10,10,10,72,42,84,3,"no",288,65.16
261,"GP","F",16,"U","GT3","T",1,2,"other","other","course","mother",1,1,0,"no","no","no","yes","yes","no","yes","no",5,3,5,1,2,5,4,12,11,11,5,40,16,92,8,"no",120,1.2
262,"GP","F",17,"R","GT3","T",2,1,"at_home","services","course","mother",3,2,0,"no","no","no","yes","yes","yes","no","no",2,1,1,1,1,3,2,13,13,13,6,42,10,130,5,"no",168,33.81
263,"GP","F",17,"R","LE3","A",1,4,"other","other","course","other",4,1,1,"no","yes","no","yes","yes","yes","yes","no",5,5,4,1,1,5,14,9,9,8,3,40,34,18,3,"no",80,71.6
264,"GP","M",18,"U","GT3","T",2,2,"other","services","reputation","father",1,2,0,"no","no","no","yes","yes","no","yes","no",5,5,4,3,5,2,16,8,7,8,11,44,42,15,8,"yes",88,26.62
265,"GP","F",17,"U","LE3","A",2,2,"other","other","home","mother",1,1,1,"no","yes","no","yes","no","no","yes","no",3,1,2,1,1,1,8,11,9,10,10,20,18,80,11,"no",60,24.2
266,"GP","F",17,"R","LE3","T",1,1,"at_home","other","course","mother",2,3,0,"no","no","no","yes","yes","yes","yes","no",4,3,3,1,3,5,4,15,14,15,7,195,28,116,7,"no",975,206.7
267,"GP","F",17,"U","LE3","A",4,2,"teacher","other","course","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",4,3,2,1,1,4,4,15,14,14,7,8,10,116,7,"no",40,5.56
268,"GP","M",17,"U","LE3","T",4,3,"health","other","course","mother",2,2,0,"no","no","no","yes","yes","yes","yes","yes",2,5,5,1,4,5,8,15,15,15,12,80,34,30,5,"no",400,93.6
269,"GP","M",17,"R","LE3","A",4,4,"teacher","other","course","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",3,3,3,2,3,4,0,12,12,12,9,88,28,48,15,"no",176,134.2
270,"GP","M",16,"U","LE3","T",4,3,"teacher","other","course","mother",1,1,0,"no","no","no","yes","no","yes","yes","no",5,4,5,1,1,3,7,14,14,15,14,15,36,140,4,"no",15,21.75
271,"GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"no","no","yes","yes","yes","yes","yes","no",5,3,2,1,2,5,4,14,15,15,9,10,30,87,5,"no",20,10.75
