"id","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","forum.posts","levels.complete","avatar.requests","teacher.requests","customize.character","facebook","time.in.session","av.seconds.per.task",school,gender,citystatus,famsize,Pstatus,Mjob,Fjob,schoolsup,famsup
119,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,14,12,11,11,2,170,34,23,4,yes,170,115.6,1,2,1,1,2,3,3,1,2
120,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,2,4,2,14,13,14,7,48,18,135,8,no,48,53.52,1,2,2,1,2,3,3,1,1
121,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14,6,8,24,84,4,no,24,13.12,1,1,2,1,2,1,4,1,1
122,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13,12,80,24,54,3,yes,80,56.8,1,2,2,1,2,4,4,1,2
123,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13,8,170,18,26,0,no,680,204,1,1,2,2,2,3,2,1,2
124,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,4,12,13,13,14,5,16,25,0,no,20,2.7,1,2,2,1,2,2,3,1,2
125,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11,20,60,28,23,8,no,60,60,1,1,2,1,2,3,3,1,1
126,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,yes,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9,12,85,34,90,8,no,255,119.85,1,2,2,1,2,4,4,2,1
127,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11,18,4,26,84,15,no,8,5.74,1,1,2,2,1,3,3,2,1
128,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,no,yes,no,yes,no,no,no,no,3,4,2,1,1,5,0,9,10,11,1,40,22,76,2,no,160,19.8,1,1,2,1,2,1,3,1,2
129,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,14,14,15,9,60,12,28,7,yes,180,100.8,1,2,1,1,2,5,5,1,1
130,GP,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,no,yes,no,yes,no,yes,yes,yes,3,2,3,2,2,1,4,13,12,13,20,6,38,25,1,no,18,0.69,1,2,2,1,2,3,3,1,2
131,GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,2,2,5,0,10,11,12,8,285,26,105,1,no,570,446.025,1,1,1,1,2,4,5,1,2
132,GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,10,10,9,8,0,130,26,57,3,yes,260,82.55,1,1,2,1,2,4,3,1,2
133,GP,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,no,yes,no,yes,yes,yes,yes,no,3,2,2,1,2,5,8,11,10,11,3,50,30,84,3,no,100,31,1,1,2,2,1,3,3,1,2
134,GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13,6,52,36,46,1,yes,156,85.54,1,1,2,1,2,1,3,1,2
135,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,4,4,1,3,5,2,13,12,12,6,70,32,75,1,no,280,14,1,1,2,2,2,3,3,1,2
136,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,2,1,1,4,5,12,15,13,14,7,50,16,140,11,yes,50,89.5,1,1,2,1,1,4,3,1,1
137,GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,0,no,no,no,yes,yes,yes,no,no,3,2,1,1,1,2,4,9,9,11,8,22,26,72,8,no,110,20.24,1,2,2,1,2,1,3,1,1
138,GP,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,1,no,no,no,yes,yes,yes,no,no,5,3,4,1,1,5,12,13,11,11,4,25,16,48,23,yes,75,25.5,1,1,2,1,1,3,3,1,1
139,GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,yes,yes,yes,no,yes,5,3,3,1,1,5,2,12,11,11,22,70,12,115,1,no,350,18.55,1,2,1,1,2,1,5,1,2
140,GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,4,13,14,15,12,225,14,81,1,no,225,293.625,1,1,2,1,2,4,1,1,2
141,GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,5,4,5,2,4,5,2,10,9,10,4,90,18,57,6,no,90,144.45,1,2,1,1,2,1,3,1,1
142,GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2,0,no,yes,no,yes,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13,3,60,14,108,2,no,240,75.3,1,1,1,1,2,1,3,1,2
143,GP,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,4,5,4,2,11,11,12,26,68,24,88,7,no,204,20.06,1,2,2,2,2,4,4,1,1
144,GP,F,18,U,GT3,A,3,2,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,5,1,5,10,12,11,11,22,135,40,46,7,yes,270,222.75,1,1,2,1,1,3,4,1,2
145,GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,2,1,8,12,11,11,20,20,14,46,4,yes,20,35.4,1,1,1,1,2,3,4,1,2
146,GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10,22,65,34,54,15,no,130,101.725,1,1,2,1,1,3,3,1,2
147,GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,yes,yes,yes,no,yes,4,4,4,1,3,5,0,10,10,10,2,190,24,60,5,no,190,66.5,1,2,2,2,2,4,3,1,1
148,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,6,13,14,14,11,100,38,54,4,yes,500,8.5,1,1,2,1,2,5,5,1,1
149,GP,F,15,R,GT3,T,1,1,other,other,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,1,1,1,2,8,9,9,18,2,48,17,7,no,10,1.97,1,1,1,1,2,3,3,1,1
150,GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,yes,yes,yes,yes,no,2,2,2,1,1,3,6,9,11,11,8,120,28,40,4,yes,360,93.6,1,2,2,1,2,5,4,2,2
151,GP,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,0,no,no,no,yes,no,yes,no,yes,1,3,2,2,3,1,24,9,8,9,22,12,24,51,19,yes,24,16.92,1,1,2,1,1,4,4,1,1
152,GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,5,0,15,13,13,5,135,28,140,1,no,405,105.975,1,2,2,1,2,4,4,1,2
153,GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,4,12,11,11,12,6,40,23,2,no,24,8.58,1,2,2,2,2,4,4,1,2
154,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,2,13,13,13,14,105,32,130,2,no,525,73.5,1,1,2,1,2,5,4,1,2
155,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,4,4,3,3,1,4,10,11,11,7,17,20,105,5,no,51,9.01,1,1,2,2,2,1,1,1,1
156,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,3,85,46,64,3,yes,425,97.325,1,2,2,1,2,3,3,1,2
157,GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,2,5,0,12,12,12,11,110,28,48,3,no,550,111.65,1,1,2,1,2,3,4,1,2
158,GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,1,1,5,0,11,10,10,8,40,18,42,15,no,200,9.8,1,1,2,2,1,1,3,1,2
159,GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,3,3,2,1,1,3,2,11,11,11,11,6,36,66,1,no,18,1.89,1,1,2,1,2,2,4,1,2
160,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,1,1,5,6,13,12,13,8,80,14,100,4,yes,80,9.6,1,1,2,1,2,1,3,1,2
161,GP,F,15,U,GT3,T,1,2,at_home,services,course,father,1,2,0,no,no,no,yes,no,yes,no,yes,2,3,4,2,4,1,6,11,11,11,10,26,18,66,4,yes,78,37.31,1,1,2,1,2,1,4,1,1
162,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,yes,yes,no,yes,yes,3,3,2,2,1,5,16,9,9,8,20,5,46,18,4,yes,5,7.075,1,2,2,1,2,5,5,1,2
163,GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,2,5,5,0,12,11,11,6,65,40,115,19,no,65,39.325,1,2,2,2,1,4,3,1,1
164,GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,2,no,no,no,yes,yes,no,yes,yes,2,3,5,2,5,4,0,11,9,0,16,36,30,80,7,no,72,18.54,1,2,2,2,2,3,3,1,1
165,GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,9,10,10,10,25,22,38,8,no,100,32.625,1,2,2,2,2,1,3,1,1
166,GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,13,13,13,24,135,38,104,2,no,405,196.425,1,1,1,1,2,4,4,1,2
167,GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,0,no,yes,no,yes,yes,no,yes,yes,4,5,4,1,1,4,6,11,9,11,18,4,30,100,0,yes,16,0.18,1,2,2,1,2,4,1,1,2
168,GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,yes,yes,yes,no,yes,4,2,1,1,1,4,0,13,13,13,20,36,10,52,2,no,144,17.1,1,1,2,1,2,3,5,2,2
169,GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,0,7,8,8,3,12,30,15,7,no,24,12.72,1,2,1,1,2,1,4,2,1
170,GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,3,no,no,no,yes,yes,yes,no,no,2,2,2,3,3,5,14,9,8,10,7,55,20,17,6,no,220,37.125,1,2,1,2,2,3,3,1,1
171,GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,11,10,11,0,36,20,42,0,yes,144,12.6,1,1,1,1,2,1,3,1,2
172,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,yes,no,yes,no,no,4,2,2,1,2,3,4,12,10,11,3,6,16,110,4,no,6,10.62,1,2,1,1,2,1,3,1,1
173,GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,5,5,4,4,5,0,10,10,1,10,180,20,20,1,no,360,308.7,1,2,2,1,2,3,4,1,2
174,GP,M,16,U,LE3,T,1,2,health,services,course,mother,2,1,2,no,no,no,yes,no,yes,yes,no,4,4,5,3,5,5,0,9,8,10,6,15,46,17,4,no,30,6.675,1,2,2,2,2,2,4,1,1
175,GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,3,3,2,2,2,5,8,8,8,9,18,55,24,16,4,no,220,15.4,1,2,1,2,2,1,3,1,1
176,GP,M,17,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,yes,yes,yes,yes,yes,4,4,4,1,4,3,4,7,6,8,4,96,44,26,0,no,192,157.44,1,2,1,1,2,3,3,2,2
177,GP,M,15,U,LE3,T,1,2,other,other,course,mother,2,1,0,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,2,8,9,10,10,95,22,51,7,no,380,59.85,1,2,2,2,2,3,3,1,1
178,GP,M,16,U,GT3,T,1,3,at_home,services,course,father,1,1,1,no,no,no,yes,yes,no,yes,no,5,3,3,1,4,2,2,9,8,8,6,14,22,51,8,no,70,24.64,1,2,2,1,2,1,4,1,1
179,GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,0,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,8,8,8,8,140,22,80,8,no,140,217.7,1,2,1,2,2,3,4,1,1
180,GP,M,17,U,GT3,T,3,2,services,services,course,mother,2,1,3,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,10,8,7,8,1,22,22,75,0,yes,110,19.69,1,2,2,1,2,4,4,1,2
181,GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no,no,yes,yes,no,yes,no,4,3,5,2,4,4,0,9,10,11,4,160,46,76,7,no,160,164,1,2,2,1,2,3,3,1,1
182,GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,1,3,0,17,17,18,20,6,12,34,5,no,12,3.84,1,1,2,1,2,2,4,1,1
183,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,5,1,5,1,1,4,0,12,12,13,5,40,28,120,3,no,200,5.6,1,1,2,1,2,3,3,1,2
184,GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,3,0,16,16,17,26,60,20,32,4,no,60,71.7,1,1,2,1,2,2,2,1,2
185,GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,1,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,4,9,9,10,6,36,28,36,2,no,144,56.16,1,2,2,1,2,3,3,1,2
186,GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,3,0,16,17,18,12,120,32,33,2,no,120,33,1,2,2,1,2,3,3,1,2
187,GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,3,5,0,11,9,10,14,50,30,100,3,no,50,50.25,1,2,2,2,2,5,3,1,2
188,GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0,14,13,13,12,120,18,81,5,no,600,48.6,1,1,2,1,2,1,4,1,1
189,GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,1,4,0,14,14,15,5,72,12,84,1,no,360,87.48,1,1,2,2,2,3,3,1,2
190,GP,M,17,U,LE3,T,4,3,teacher,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,0,10,11,11,11,112,20,105,4,no,448,185.92,1,2,2,2,2,5,3,1,1
191,GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,no,no,no,yes,no,yes,yes,no,3,4,4,1,4,5,0,13,12,14,10,130,20,100,7,no,390,108.55,1,1,2,1,2,4,3,1,1
192,GP,M,17,U,GT3,T,3,3,other,other,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,4,11,9,10,11,136,18,60,4,no,136,80.92,1,2,2,1,2,3,3,1,1
193,GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,3,8,10,9,11,18,51,44,95,0,yes,255,3.315,1,2,1,1,2,5,4,1,2
194,GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,2,4,11,11,13,14,56,42,44,0,no,280,38.92,1,2,2,1,2,3,3,1,2
195,GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,4,11,10,11,5,18,42,105,3,no,72,24.3,1,2,2,1,2,5,3,1,2
196,GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,0,11,12,13,22,102,36,23,5,no,306,73.95,1,2,2,1,2,4,3,1,1
197,GP,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5,4,2,2,3,5,0,17,18,17,12,60,4,70,3,no,300,36.6,1,1,2,1,2,4,4,1,2
198,GP,F,17,U,LE3,T,3,3,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,2,3,1,32,14,13,14,8,4,36,108,2,no,4,1.8,1,1,2,2,2,3,3,1,2
199,GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,1,2,2,1,2,1,8,14,15,16,8,12,18,29,2,yes,24,3.42,1,1,2,1,2,3,3,1,2
200,GP,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,6,11,13,14,18,64,30,120,1,yes,64,94.08,1,2,2,1,2,4,4,1,2
201,GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,2,3,0,10,9,11,6,30,44,38,1,no,60,22.05,1,2,2,1,2,4,4,1,2
202,GP,M,16,U,LE3,T,2,1,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,13,14,16,22,50,20,108,5,no,200,84.5,1,2,2,2,2,3,3,1,1
203,GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,3,3,10,12,13,14,12,96,16,75,11,yes,480,132.48,1,1,2,1,1,2,3,1,2
204,GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no,no,yes,yes,yes,no,no,3,1,3,1,5,3,6,9,9,10,3,120,26,54,5,yes,120,172.2,1,2,1,1,2,1,3,1,1
205,GP,F,16,U,GT3,T,2,3,services,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,2,6,12,12,13,8,60,34,24,8,yes,240,71.7,1,1,2,1,2,4,4,1,1
206,GP,F,17,U,GT3,T,1,1,at_home,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,0,12,11,12,5,66,22,115,7,no,198,46.2,1,1,2,1,2,1,4,1,1
207,GP,M,17,U,GT3,T,1,2,at_home,services,other,other,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,4,4,5,5,16,10,11,12,5,170,32,63,6,yes,850,209.1,1,2,2,1,2,1,4,1,1
208,GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,0,11,10,10,7,80,24,84,4,no,240,135.2,1,2,1,1,2,4,4,1,2
209,GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,0,13,12,12,7,30,20,50,6,no,90,12.6,1,2,2,1,2,3,3,1,1
210,GP,F,17,U,LE3,T,2,4,services,services,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,8,14,15,16,14,180,12,87,5,no,180,146.7,1,1,2,2,2,4,4,1,1
211,GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,2,3,1,2,5,4,13,13,14,8,50,38,26,6,no,50,17.5,1,2,2,1,2,4,5,1,1
212,GP,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,4,3,5,3,16,10,11,12,10,15,38,105,3,no,45,1.275,1,2,1,2,2,5,3,1,2
213,GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,3,2,30,14,15,16,4,30,12,116,2,yes,120,31.95,1,1,2,1,2,4,5,1,2
214,GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,2,1,2,3,0,11,10,11,7,12,30,21,3,no,36,20.76,1,1,2,2,2,5,5,1,2
215,GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,5,2,2,14,14,15,9,76,18,112,4,no,228,89.68,1,1,2,1,2,2,3,1,2
216,GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,4,3,1,3,4,4,11,12,12,8,136,14,46,2,no,544,127.16,1,1,2,1,2,3,3,2,2
217,GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,no,yes,no,yes,no,no,4,4,4,1,3,1,0,14,15,15,8,32,10,145,3,no,128,13.28,1,1,2,1,2,3,3,1,2
218,GP,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,2,1,2,3,21,13,13,13,10,24,20,104,3,yes,48,24.24,1,1,1,1,2,3,3,1,2
219,GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,no,yes,no,yes,no,yes,yes,no,5,3,5,1,1,5,6,13,13,13,12,300,38,130,2,yes,900,135,1,1,1,1,2,4,4,1,2
220,GP,F,17,U,GT3,T,3,4,at_home,services,home,mother,1,3,1,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,3,4,5,14,8,9,8,10,105,36,85,1,yes,315,128.625,1,1,2,1,2,1,4,1,2
221,GP,F,16,U,GT3,A,3,1,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,4,2,11,11,12,5,32,42,44,11,no,160,35.04,1,1,2,1,1,4,3,1,2
222,GP,F,16,U,GT3,T,4,3,teacher,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,4,14,15,15,18,34,36,116,7,no,170,48.62,1,1,2,1,2,5,3,1,1
223,GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,no,no,4,3,2,1,4,5,2,12,13,13,11,80,18,125,1,no,320,116,1,1,2,1,2,1,3,1,2
224,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,0,11,12,12,16,84,30,23,3,no,252,8.4,1,1,1,1,2,5,3,1,2
225,GP,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,3,4,12,12,12,9,132,16,48,1,no,132,207.9,1,1,2,1,2,3,3,1,2
226,GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,3,5,4,5,3,15,13,12,12,28,90,26,50,0,no,90,37.8,1,2,2,2,2,4,3,1,2
227,GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,3,3,4,1,1,4,0,13,13,13,9,96,20,52,3,no,480,120,1,1,2,1,1,3,3,2,2
228,GP,M,18,U,GT3,T,2,2,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,2,4,5,10,12,11,11,8,80,34,92,1,yes,240,59.2,1,2,2,1,2,4,3,1,2
229,GP,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,5,2,1,1,2,3,6,12,11,11,9,51,14,115,2,no,153,15.045,1,1,1,2,2,4,3,1,2
230,GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,1,3,1,2,14,16,15,9,6,30,30,7,no,24,9.81,1,1,2,2,2,3,3,1,1
231,GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,4,5,2,4,1,16,11,9,10,18,10,18,60,7,yes,50,14.75,1,1,2,1,2,3,3,1,1
232,GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,2,4,2,4,4,10,10,10,10,12,160,38,20,4,no,480,237.6,1,2,2,2,2,4,2,1,2
233,GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,3,3,1,4,3,4,12,13,13,12,24,18,125,3,no,72,15.24,1,1,2,1,2,1,3,1,2
234,GP,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,0,12,12,13,3,48,16,72,3,no,48,49.2,1,1,2,1,2,1,1,1,2
235,GP,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,5,0,11,10,11,10,80,36,21,3,no,160,57.6,1,1,1,1,2,1,4,1,2
236,GP,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,4,3,4,1,1,5,12,12,12,12,18,255,18,24,3,yes,510,293.25,1,1,2,1,2,1,3,1,2
237,GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,2,3,1,1,1,3,0,13,13,14,9,18,32,26,5,no,72,3.96,1,1,2,1,2,4,5,2,1
238,GP,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,3,no,yes,yes,yes,yes,yes,yes,no,3,3,3,5,5,4,9,10,9,10,6,128,20,76,3,yes,640,42.88,1,2,2,1,2,3,3,1,2
239,GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,4,15,16,16,11,255,28,155,2,no,765,43.35,1,1,2,1,2,5,4,1,2
